"","CCG_CODE","CCG_ONS_CODE","CCG_NAME","STP_CODE","SUBREGION_ONS_CODE","REGION_ONS_CODE","APPOINTMENT_DATE","APPOINTMENT_STATUS","HCP_TYPE","APPOINTMENT_MODE","TIME_BETWEEN_BOOK_AND_APPT","COUNT_OF_APPOINTMENTS"
"673","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","20-Nov-17","Attended","HCP Type Not Provided","Telephone","More than 28 Days",1
"674","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","20-Nov-17","Attended","HCP Type Not Provided","Telephone","8  to 14 Days",27
"675","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","20-Nov-17","Attended","HCP Type Not Provided","Telephone","22  to 28 Days",1
"676","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","20-Nov-17","Attended","HCP Type Not Provided","Telephone","2 to 7 Days",157
"677","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","20-Nov-17","Attended","HCP Type Not Provided","Telephone","15  to 21 Days",10
"678","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","20-Nov-17","Attended","HCP Type Not Provided","Home Visit","Same Day",83
"679","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","20-Nov-17","Attended","HCP Type Not Provided","Home Visit","2 to 7 Days",11
"680","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","20-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","Unknown / Data Issue",18
"681","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","20-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","Same Day",4027
"682","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","20-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","More than 28 Days",164
"683","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","20-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","8  to 14 Days",1069
"684","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","20-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","22  to 28 Days",255
"685","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","20-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","2 to 7 Days",1833
"686","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","20-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","15  to 21 Days",454
"687","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","20-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","1 Day",27
"688","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Unknown","HCP Type Not Provided","Telephone","Same Day",34
"689","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Unknown","HCP Type Not Provided","Telephone","2 to 7 Days",10
"690","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Unknown","HCP Type Not Provided","Home Visit","Same Day",28
"691","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Unknown","HCP Type Not Provided","Home Visit","22  to 28 Days",1
"692","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Unknown","HCP Type Not Provided","Home Visit","2 to 7 Days",7
"693","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","Same Day",26
"694","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","More than 28 Days",1
"695","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","8  to 14 Days",13
"696","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","2 to 7 Days",33
"697","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","15  to 21 Days",3
"698","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","1 Day",8
"699","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","DNA","HCP Type Not Provided","Telephone","Same Day",10
"700","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","DNA","HCP Type Not Provided","Telephone","2 to 7 Days",4
"701","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","DNA","HCP Type Not Provided","Telephone","1 Day",6
"702","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","DNA","HCP Type Not Provided","Home Visit","8  to 14 Days",1
"703","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","DNA","HCP Type Not Provided","Home Visit","2 to 7 Days",1
"704","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","Same Day",78
"705","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","More than 28 Days",22
"706","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","8  to 14 Days",148
"707","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","22  to 28 Days",24
"708","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","2 to 7 Days",182
"709","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","15  to 21 Days",83
"710","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","1 Day",58
"711","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","22  to 28 Days",7
"712","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Attended","HCP Type Not Provided","Telephone","Same Day",563
"713","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Attended","HCP Type Not Provided","Telephone","8  to 14 Days",25
"714","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Attended","HCP Type Not Provided","Telephone","22  to 28 Days",1
"715","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Attended","HCP Type Not Provided","Telephone","2 to 7 Days",83
"716","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Unknown","HCP Type Not Provided","Home Visit","1 Day",6
"717","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Attended","HCP Type Not Provided","Telephone","15  to 21 Days",5
"718","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Attended","HCP Type Not Provided","Telephone","1 Day",82
"719","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Attended","HCP Type Not Provided","Home Visit","Same Day",49
"720","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Attended","HCP Type Not Provided","Home Visit","2 to 7 Days",8
"721","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Unknown","HCP Type Not Provided","Telephone","1 Day",7
"722","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Attended","HCP Type Not Provided","Home Visit","1 Day",28
"723","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","Unknown / Data Issue",23
"724","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","Same Day",3134
"725","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","More than 28 Days",208
"726","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","8  to 14 Days",1115
"727","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","22  to 28 Days",235
"728","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","2 to 7 Days",1479
"729","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","15  to 21 Days",456
"730","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","21-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","1 Day",700
"731","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Attended","HCP Type Not Provided","Home Visit","Same Day",43
"732","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Attended","HCP Type Not Provided","Home Visit","More than 28 Days",2
"733","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Attended","HCP Type Not Provided","Home Visit","8  to 14 Days",2
"734","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Attended","HCP Type Not Provided","Telephone","1 Day",51
"735","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Attended","HCP Type Not Provided","Home Visit","2 to 7 Days",7
"736","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Attended","HCP Type Not Provided","Home Visit","1 Day",9
"737","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","Unknown / Data Issue",3
"738","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","Same Day",2913
"739","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","More than 28 Days",202
"740","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","8  to 14 Days",996
"741","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","22  to 28 Days",258
"742","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","2 to 7 Days",1411
"743","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","15  to 21 Days",489
"744","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","1 Day",469
"745","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Unknown","HCP Type Not Provided","Telephone","8  to 14 Days",2
"746","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Unknown","HCP Type Not Provided","Telephone","2 to 7 Days",5
"747","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Unknown","HCP Type Not Provided","Telephone","15  to 21 Days",1
"748","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Unknown","HCP Type Not Provided","Home Visit","Same Day",31
"749","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Unknown","HCP Type Not Provided","Home Visit","8  to 14 Days",3
"750","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Unknown","HCP Type Not Provided","Home Visit","22  to 28 Days",1
"751","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Unknown","HCP Type Not Provided","Home Visit","1 Day",6
"752","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","Same Day",43
"753","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","8  to 14 Days",3
"754","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","2 to 7 Days",30
"755","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","15  to 21 Days",2
"756","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","1 Day",9
"757","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","DNA","HCP Type Not Provided","Telephone","Same Day",7
"758","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Unknown","HCP Type Not Provided","Home Visit","2 to 7 Days",6
"759","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","DNA","HCP Type Not Provided","Telephone","8  to 14 Days",1
"760","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","DNA","HCP Type Not Provided","Telephone","1 Day",5
"761","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","DNA","HCP Type Not Provided","Home Visit","Same Day",1
"762","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","Unknown / Data Issue",1
"763","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Unknown","HCP Type Not Provided","Telephone","1 Day",11
"764","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","Same Day",98
"765","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","More than 28 Days",54
"766","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","8  to 14 Days",134
"767","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","22  to 28 Days",38
"768","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Unknown","HCP Type Not Provided","Telephone","Same Day",22
"769","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","2 to 7 Days",176
"770","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","15  to 21 Days",68
"771","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","1 Day",35
"772","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Attended","HCP Type Not Provided","Telephone","Same Day",434
"773","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Attended","HCP Type Not Provided","Telephone","More than 28 Days",2
"774","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Attended","HCP Type Not Provided","Telephone","8  to 14 Days",23
"775","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Attended","HCP Type Not Provided","Telephone","2 to 7 Days",107
"776","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","22-Nov-17","Attended","HCP Type Not Provided","Telephone","15  to 21 Days",4
"777","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","15  to 21 Days",363
"778","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","1 Day",438
"779","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","DNA","HCP Type Not Provided","Telephone","2 to 7 Days",7
"780","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","Unknown / Data Issue",5
"781","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","DNA","HCP Type Not Provided","Home Visit","2 to 7 Days",1
"782","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","2 to 7 Days",112
"783","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","15  to 21 Days",3
"784","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Attended","HCP Type Not Provided","Telephone","1 Day",57
"785","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Unknown","HCP Type Not Provided","Telephone","15  to 21 Days",1
"786","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","8  to 14 Days",856
"787","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","Unknown / Data Issue",1
"788","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Attended","HCP Type Not Provided","Telephone","2 to 7 Days",96
"789","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Attended","HCP Type Not Provided","Home Visit","1 Day",8
"790","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","1 Day",31
"791","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","Same Day",25
"792","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","DNA","HCP Type Not Provided","Telephone","1 Day",3
"793","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Unknown","HCP Type Not Provided","Telephone","2 to 7 Days",11
"794","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Unknown","HCP Type Not Provided","Home Visit","8  to 14 Days",2
"795","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Unknown","HCP Type Not Provided","Telephone","Same Day",49
"796","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Unknown","HCP Type Not Provided","Telephone","1 Day",10
"797","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Unknown","HCP Type Not Provided","Home Visit","15  to 21 Days",1
"798","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","8  to 14 Days",113
"799","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","22  to 28 Days",30
"800","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","DNA","HCP Type Not Provided","Telephone","Same Day",12
"801","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","8  to 14 Days",5
"802","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","15  to 21 Days",39
"803","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","More than 28 Days",179
"804","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Attended","HCP Type Not Provided","Telephone","15  to 21 Days",4
"805","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Attended","HCP Type Not Provided","Home Visit","Unknown / Data Issue",2
"806","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Attended","HCP Type Not Provided","Home Visit","Same Day",23
"807","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","22  to 28 Days",3
"808","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","DNA","HCP Type Not Provided","Telephone","8  to 14 Days",3
"809","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","2 to 7 Days",9
"810","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Attended","HCP Type Not Provided","Home Visit","15  to 21 Days",2
"811","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","Same Day",73
"812","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Unknown","HCP Type Not Provided","Home Visit","Same Day",33
"813","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","22  to 28 Days",223
"814","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Attended","HCP Type Not Provided","Telephone","Same Day",438
"815","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","1 Day",8
"816","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","Same Day",2462
"817","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Attended","HCP Type Not Provided","Telephone","More than 28 Days",1
"818","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Unknown","HCP Type Not Provided","Home Visit","2 to 7 Days",8
"819","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","DNA","HCP Type Not Provided","Face-to-Face","More than 28 Days",22
"820","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","2 to 7 Days",1221
"821","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Unknown","HCP Type Not Provided","Home Visit","1 Day",5
"822","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Attended","HCP Type Not Provided","Home Visit","2 to 7 Days",5
"823","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","23-Nov-17","Attended","HCP Type Not Provided","Telephone","8  to 14 Days",19
"824","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","24-Nov-17","Attended","HCP Type Not Provided","Home Visit","8  to 14 Days",1
"825","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","24-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","15  to 21 Days",409
"826","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","24-Nov-17","Attended","HCP Type Not Provided","Telephone","2 to 7 Days",120
"827","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","24-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","Same Day",2944
"828","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","24-Nov-17","Attended","HCP Type Not Provided","Home Visit","Unknown / Data Issue",1
"829","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","24-Nov-17","Attended","HCP Type Not Provided","Home Visit","Same Day",40
"830","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","24-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","Unknown / Data Issue",16
"831","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","24-Nov-17","Attended","HCP Type Not Provided","Home Visit","2 to 7 Days",6
"832","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","24-Nov-17","DNA","HCP Type Not Provided","Telephone","1 Day",2
"833","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","24-Nov-17","Attended","HCP Type Not Provided","Home Visit","More than 28 Days",1
"834","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","24-Nov-17","Attended","HCP Type Not Provided","Home Visit","15  to 21 Days",1
"835","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","24-Nov-17","Attended","HCP Type Not Provided","Telephone","15  to 21 Days",3
"836","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","24-Nov-17","Unknown","HCP Type Not Provided","Telephone","Same Day",33
"837","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","24-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","22  to 28 Days",231
"838","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","24-Nov-17","Attended","HCP Type Not Provided","Face-to-Face","2 to 7 Days",1524
"839","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","24-Nov-17","Unknown","HCP Type Not Provided","Telephone","8  to 14 Days",2
"840","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","24-Nov-17","Unknown","HCP Type Not Provided","Face-to-Face","15  to 21 Days",2
"841","05A","E38000038","NHS Coventry and Rugby CCG","E54000018","E39000033","E40000002","24-Nov-17","Attended","HCP Type Not Provided","Home Visit","1 Day",10
